first_name,last_name,email_Id,date,message,Brand_segment,class,customer_segment
Joe, Moreno, joe.moreno@abc.com, 1,Hi  you are invited for the Nike campaign.,runners,2,Loyal
Tony, Stark, tony.stark@abc.com, 2,Hi  you are invited for the Nike campaign.,trekking,1,Best
Jerry, m, jerry.m@abc.com,2,Hi  you are invited for the Nike campaign.,sports, 1,Loyal
Tom, J, tom.j@abc.com,1,Hi  you are invited for the Nike campaign.,fashion,1,Needs Attention
Ben, Otto, ben.otto@abc.com,2,Hi  you are invited for the Nike campaign.,fashion,2,Best
Catherine, Pearce, catherine.pearce@abc.com,2,Hi  you are invited for the Nike campaign.,trekking,1,Needs Attention
Steffan, Devon, steffan.devon@abc.com,1,Hi  you are invited for the Nike campaign.,runners,1,Require Activation
Caroline, Tresa, caroline.tresa@abc.com,1,Hi  you are invited for the Nike campaign.,sports,3,Require Activation
Kate, Bing, kate.bing@abc.com,2,Hi  you are invited for the Nike campaign.,fashion,3,Needs Attention
Joey, Tribiani, joey.tribiani@abc.com,2,Hi  you are invited for the Nike campaign.,trekking,3,Promising
Ross, Geller, ross.geller@abc.com,2,Hi  you are invited for the Nike campaign.,trekking,2,Promising
Rachel, Green, rachel.green@abc.com,1,Hi  you are invited for the Nike campaign.,sports,2,Promising
John, Gregor, john.gregor@abc.com,2,Hi  you are invited for the Nike campaign.,formal,1,Loyal
Tyrion, Lanister,tyrion.lanister@abc.com,1,Hi  you are invited for the Nike campaign.,formal,1,Promising
